date;prod_id;prod_name;prod_name_long;prod_brand;category;subcategory;tags; Name ;Category;prod_icon; prod_source ;source_type;;
20190609;7,70E+12;Ambientador Brizze palitos de rattan vainilla ;Ambientador Brizze palitos de rattan vainilla x 60 ml;BRIZZE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Brizze palitos de rattan vainilla x 60 ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Brizze pasión tropical Palitos ;Ambientador Brizze pasión tropical Palitos x 2 und x 60 ml c-u;BRIZZE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Brizze pasion tropical Palitos x 2 und x 60 ml c-u ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador delicias vailla pltos Brizze ;Ambientador delicias vailla pltos Brizze x 3 und x 60 ml c-u;BRIZZE;Supermercado;Aseo de hogar;Ambientadores; Ambientador delicias vailla pltos Brizze x 3 und x 60 ml c-u ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Ambientador Eléctrico Liquido Lavanda y Flor De Durazno Glade Aceites Naturales 1 Aparato + 1 Repuesto ;Ambientador Eléctrico Liquido Lavanda y Flor De Durazno Glade Aceites Naturales 1 Aparato + 1 Repuesto x 21ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Electrico Liquido Lavanda y Flor De Durazno Glade Aceites Naturales 1 Aparato + 1 Repuesto x 21ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Ambientador Eléctrico Liquido Manzana y Canela Glade Aceites Naturales 1 Aparato + 1 Repuesto ;Ambientador Eléctrico Liquido Manzana y Canela Glade Aceites Naturales 1 Aparato + 1 Repuesto x 21ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Electrico Liquido Manzana y Canela Glade Aceites Naturales 1 Aparato + 1 Repuesto x 21ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador En Gel De Bolsa Para Espacios Pequeños Manzana y Canela Glade ;Ambientador En Gel De Bolsa Para Espacios Pequeños Manzana y Canela Glade x 31g;GLADE;Supermercado;Aseo de hogar;Ambientadores; Ambientador En Gel De Bolsa Para Espacios Pequeños Manzana y Canela Glade x 31g ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Ambientador glade abrazos vainilla líquido repuesto ;Ambientador glade abrazos vainilla líquido repuesto x 3und x 63ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Ambientador glade abrazos vainilla liquido repuesto x 3und x 63ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Ambientador Glade aceites naturales y alegría floral repuesto ;Ambientador Glade aceites naturales y alegría floral repuesto x 21 ml + dispensador;GLADE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Glade aceites naturales y alegria floral repuesto x 21 ml + dispensador ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Ambientador Glade alegría floral líquido repuesto ;Ambientador Glade alegría floral líquido repuesto x 3 und x 63 ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Glade alegria floral liquido repuesto x 3 und x 63 ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Ambientador Glade automático precio especial ;Ambientador Glade automático precio especial x 2 unds;GLADE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Glade automatico precio especial x 2 unds ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Ambientador Glade surtido aerosol ;Ambientador Glade surtido aerosol x 3unds x 400ml c-u;GLADE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Glade surtido aerosol x 3unds x 400ml c-u ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Glade toque manzana+ repuestox 2 und ;Ambientador Glade toque manzana+ repuestox 2 und x 9 g c-u;GLADE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Glade toque manzana+ repuestox 2 und x 9 g c-u ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Spray Frescura Ambiental Baby Fresh Bonaire ;Ambientador Spray Frescura Ambiental Baby Fresh Bonaire x 400ml;BONAIRE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Spray Frescura Ambiental Baby Fresh Bonaire x 400ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Spray Frescura Ambiental Canela Bonaire ;Ambientador Spray Frescura Ambiental Canela Bonaire x 400ml;BONAIRE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Spray Frescura Ambiental Canela Bonaire x 400ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Spray Frescura Ambiental Frutos Rojos Bonaire ;Ambientador Spray Frescura Ambiental Frutos Rojos Bonaire x 400ml;BONAIRE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Spray Frescura Ambiental Frutos Rojos Bonaire x 400ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Spray Frescura Ambiental Surtido Bonaire 3 und ;Ambientador Spray Frescura Ambiental Surtido Bonaire 3 und x 400ml;BONAIRE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Spray Frescura Ambiental Surtido Bonaire 3 und x 400ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Varitas Frescura Citronela Bonaire ;Ambientador Varitas Frescura Citronela Bonaire x 80ml;BONAIRE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Varitas Frescura Citronela Bonaire x 80ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Varitas Frescura Frutos Rojos Bonaire ;Ambientador Varitas Frescura Frutos Rojos Bonaire x 80ml;BONAIRE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Varitas Frescura Frutos Rojos Bonaire x 80ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Varitas Frescura Lavanda Manzanilla Bonaire ;Ambientador Varitas Frescura Lavanda Manzanilla Bonaire x 80ml;BONAIRE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Varitas Frescura Lavanda Manzanilla Bonaire x 80ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Varitas Frescura Pomelo Bonaire ;Ambientador Varitas Frescura Pomelo Bonaire x 80ml;BONAIRE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Varitas Frescura Pomelo Bonaire x 80ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Ambientador Varitas Frescura Vainilla Bonaire ;Ambientador Varitas Frescura Vainilla Bonaire x 80ml;BONAIRE;Supermercado;Aseo de hogar;Ambientadores; Ambientador Varitas Frescura Vainilla Bonaire x 80ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;6,00E+12;Aromatizante Air Wick Pure aerosol floral magnolia ;Aromatizante Air Wick Pure aerosol floral magnolia x 250ml;AIR WICK;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Air Wick Pure aerosol floral magnolia x 250ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
